105  29.4798	1.249011e-01	2.567840e-02	6.727610e-01	-9.444753e-01	1.057893e-02	5.426171e-01	6.230086e-01	6.905858e-01	7.460250e-01	7.908700e-01	8.269016e-01	8.558082e-01	8.790447e-01	8.977889e-01	9.129950e-01	9.254166e-01	9.356208e-01	9.440677e-01	9.511068e-01	9.570045e-01	9.619843e-01	9.662105e-01	9.698181e-01	9.729122e-01	9.755787e-01	
38  27.8826	1.217468e-01	2.534398e-02	6.615518e-01	-8.897006e-01	-5.474544e-03	5.447169e-01	6.207123e-01	6.849261e-01	7.380802e-01	7.815639e-01	8.169390e-01	8.456840e-01	8.690850e-01	8.881966e-01	9.038855e-01	9.168447e-01	9.276029e-01	9.365954e-01	9.441584e-01	9.505506e-01	9.559918e-01	9.606448e-01	9.646461e-01	9.681021e-01	9.711008e-01	
259  13.6213	1.180894e-01	2.311709e-02	6.616969e-01	-9.410736e-01	-1.259073e-02	5.331825e-01	6.135994e-01	6.818138e-01	7.382097e-01	7.841149e-01	8.211762e-01	8.510145e-01	8.750603e-01	8.944897e-01	9.102674e-01	9.231627e-01	9.337566e-01	9.425229e-01	9.498241e-01	9.559371e-01	9.610943e-01	9.654662e-01	9.691946e-01	9.723891e-01	9.751393e-01	
718  13.6423	1.174968e-01	2.525479e-02	6.673343e-01	-8.926338e-01	-4.097382e-02	5.304935e-01	6.071650e-01	6.727817e-01	7.276498e-01	7.728760e-01	8.098625e-01	8.400171e-01	8.646101e-01	8.847067e-01	9.011968e-01	9.148036e-01	9.260829e-01	9.354946e-01	9.433904e-01	9.500427e-01	9.556908e-01	9.605098e-01	9.646430e-01	9.682025e-01	9.712820e-01	
120  10.9542	1.092254e-01	2.361746e-02	6.620291e-01	-9.404485e-01	-4.354611e-02	5.148893e-01	5.955772e-01	6.650928e-01	7.233322e-01	7.712493e-01	8.102578e-01	8.418570e-01	8.674339e-01	8.881609e-01	9.050206e-01	9.188137e-01	9.301479e-01	9.395216e-01	9.473224e-01	9.538467e-01	9.593433e-01	9.639952e-01	9.679557e-01	9.713433e-01	9.742544e-01	
646  9.44707	1.078817e-01	2.324214e-02	6.573279e-01	-9.046971e-01	-6.945266e-02	5.146288e-01	5.925513e-01	6.600643e-01	7.170476e-01	7.643241e-01	8.031442e-01	8.348584e-01	8.607364e-01	8.818668e-01	8.991748e-01	9.134255e-01	9.252050e-01	9.349993e-01	9.431905e-01	9.500727e-01	9.558951e-01	9.608421e-01	9.650689e-01	9.686960e-01	9.718227e-01	
494  9.16797	1.074891e-01	2.202559e-02	6.537553e-01	-9.278625e-01	-6.294317e-02	5.146516e-01	5.944348e-01	6.633890e-01	7.213515e-01	7.691957e-01	8.082612e-01	8.399906e-01	8.657316e-01	8.866325e-01	9.036614e-01	9.176119e-01	9.290883e-01	9.385883e-01	9.465003e-01	9.531220e-01	9.587034e-01	9.634290e-01	9.674534e-01	9.708963e-01	9.738553e-01	
583  9.49	1.072470e-01	2.153000e-02	6.534945e-01	-9.586622e-01	-4.166066e-02	5.137469e-01	5.959178e-01	6.666533e-01	7.257768e-01	7.742574e-01	8.135673e-01	8.452745e-01	8.708264e-01	8.914432e-01	9.081429e-01	9.217501e-01	9.328878e-01	9.420655e-01	9.496773e-01	9.560233e-01	9.613532e-01	9.658508e-01	9.696690e-01	9.729260e-01	9.757174e-01	
36  10.3802	1.055913e-01	2.240008e-02	6.466956e-01	-9.099111e-01	-2.471290e-02	5.170072e-01	5.950570e-01	6.622192e-01	7.186151e-01	7.652422e-01	8.034540e-01	8.346496e-01	8.601120e-01	8.809260e-01	8.980039e-01	9.120943e-01	9.237697e-01	9.335040e-01	9.416680e-01	9.485472e-01	9.543841e-01	9.593584e-01	9.636214e-01	9.672910e-01	9.704641e-01	
340  10.5505	1.059996e-01	2.499077e-02	6.670467e-01	-9.020054e-01	-1.372211e-02	5.055191e-01	5.828090e-01	6.497584e-01	7.063851e-01	7.535527e-01	7.924889e-01	8.244974e-01	8.507937e-01	8.724194e-01	8.902621e-01	9.050582e-01	9.173763e-01	9.276914e-01	9.363781e-01	9.437258e-01	9.499822e-01	9.553313e-01	9.599301e-01	9.639010e-01	9.673446e-01	
84  9.22623	1.087683e-01	2.357937e-02	6.635932e-01	-9.409840e-01	-4.783533e-03	5.122751e-01	5.927456e-01	6.619040e-01	7.197936e-01	7.674450e-01	8.062989e-01	8.378481e-01	8.634602e-01	8.842861e-01	9.012872e-01	9.152475e-01	9.267632e-01	9.363248e-01	9.443126e-01	9.510179e-01	9.566881e-01	9.615052e-01	9.656215e-01	9.691550e-01	9.722022e-01	
